attrezzature,attrezzature_lingue,bagni,booking_link,camere,categoria,classificazione,comfort,denominazione_struttura,email,fax,first_word_number,geo_x,geo_y,id_struttura,info_indirizzo,latitude,letti,longitude,n_reviews,nome,posizione,provincia,pulizia,rapporto qualità prezzo,rating,servizi,staff,stato,tel,wifi gratuito,comune,Indirizzo,Cap,Località
"Accesso a mezzi pubblici,Accesso a vetture private,Accettazione gruppi,Bar,Parcheggio custodito,Ristorante,Sala lettura separata",,16.0,https://www.booking.com/hotel/it/casa-zebrusius-bepi-amp-piera-39-s-suite.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF92YWxmdXJ2YUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCjMOLpAbAAgHSAiQzZTVlMGEyNS1iODM3LTQzOTYtYTAwNy02ZTM1MDUxNDRlY2TYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c0883b06c41d000e&srepoch=1686299021&from=searchresults#hotelTmpl,0.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,3",casa zebrusius,casa.zebrusius@virgilio.it,30927209,False,6.0814331665e+17,5.14640230953e+16,65347586,,5.14640230953e+16,3.0,6.0814331665e+17,7 recensioni,casa zebrusius - bepi&piera's suite,"9,3",SO,10,10,"9,4","9,6",10,Italia,3331232076,10,collio,piazza bardea 3,25060.0,
"Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Bar,Custodia valori in cassaforte,Parcheggio non custodito,Parco o giardino,Ristorante,Sala televisione separata,Trasporto clienti stazione",,1.0,https://www.booking.com/hotel/it/le-mura-vecchie-lecco.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9sZWNjb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0riLpAbAAgHSAiRjMDg1YWFjNC02YzVmLTQzNjItYTE5Yi0xNTA2NjQxNWZlMTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=bddc3869c98a003b&srepoch=1686297683&from=searchresults#hotelTmpl,1.0,Complementari,Case ed appartamenti per vacanze gestiti in forma imprenditoriale,"9,4",cav di  le mura vecchie di marzia panzeri,marzia@sve-zia.com,302055793,True,5.30364851e+17,5.0779744859999904e+17,515211038,,5.07797448599999e+17,4.0,5.30364851e+17,35 recensioni,le mura vecchie,"9,8",LC,"9,6","9,4","9,2","9,2","9,4",Italia,30927192,,collio,via don antonio mascari 73,23900.0,CENTRO
,,6.0,https://www.booking.com/hotel/it/b-amp-b-navertino.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9ib3Jub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC4LaLpAbAAgHSAiQ5MDQ2ZTFmZC1mOWUxLTQwYzItOGU1OC0yMjgxMTM1MDJkNWPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=b9d037f03684025c&srepoch=1686297441&from=searchresults#hotelTmpl,6.0,Complementari,Foresterie lombarde,"9,0",trattoria navertino,info@navertino.it,36441164,False,5.90755645651999e+17,5.08797477237e+17,8256858,,5.08797477237e+17,13.0,5.90755645651999e+17,79 recensioni,b&b navertino,"8,6",BS,"9,3","8,9","9,0","9,0","9,4",Italia,36441164,"7,5",rogno,via navertino 4,25042.0,
"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Bar,Custodia valori in cassaforte,Lavaggio e stiratura biancheria,Parco o giardino,Ristorante,Sala televisione separata","Francese,Tedesco",9.0,https://www.booking.com/hotel/it/albergo-mangusta-madesimo.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9tYWRlc2ltb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC67KLpAbAAgHSAiQ0ODlmNjVkMy0wYmNkLTRiODMtYjk1OS1jNzVkODUzOTdjOTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3f0236f502a2011f&srepoch=1686296941&from=searchresults#hotelTmpl,9.0,Alberghiere,Alberghi 2 stelle,"8,6",mangusta,albergomangusta@virgilio.it,0343 53095,False,5.25467730783e+17,5.1433375927499904e+17,9747926,,5.14333759274999e+17,17.0,5.25467730783e+17,327 recensioni,albergo mangusta,"8,8",SO,"8,9","8,3","8,2","8,0","9,3",Italia,0343 53095,"5,9",rogno,via baldiscio isola 41,23024.0,
,,14.0,https://www.booking.com/hotel/it/chalet-stelle-di-neve-bormio.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9ib3JtaW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsHHi6QGwAIB0gIkMDQ3ZGQ3NTktMjk4Yy00ODRiLWIwNjctMGQ4NzI5YWYxZDUw2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c2c53c20d2460146&srepoch=1686299587&from=searchresults#hotelTmpl,14.0,Complementari,Case ed appartamenti per vacanze gestiti in forma imprenditoriale,"9,0",chalet stelle di neve,info@chaletabormio.com,0342 904700,False,6.04475684605999e+17,5.14651066129e+17,9757534,,5.14651066129e+17,71.0,6.04475684605999e+17,862 recensioni,chalet stelle di neve,"8,9",SO,"9,1","8,7","8,7","8,6","8,8",Italia,0342 904346,"8,4",rogno,via silvio pellico 15,23032.0,
,,3.0,https://www.booking.com/hotel/it/il-rifugio-del-risol.it.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9jYXN0aW9uZSBkZWxsYSBwcmVzb2xhbmFIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AunFi6QGwAIB0gIkOTgzY2U5OTYtNGU2ZC00ZDhlLTljMGQtZGI5NWQ4YTdiY2Ji2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=54a23bb4e7840230&srepoch=1686299370&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,0.0,Complementari,Case ed appartamenti per vacanze gestiti in forma imprenditoriale,"9,8",il rifugio del risol,amministrazione@pec.deltadatisrl.it,,False,5.8255935533e+17,5.0849917093299904e+17,367202029,,5.08499170932999e+17,11.0,5.8255935533e+17,281 recensioni,il rifugio del risol,"9,7",BG,"9,8","9,4","9,6","9,7","9,8",Italia,035 983513,"9,2",valdisotto,via foppi 1,24020.0,
,,1.0,https://www.booking.com/hotel/it/appartamenti-lecco.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9sZWNjb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0riLpAbAAgHSAiRjMDg1YWFjNC02YzVmLTQzNjItYTE5Yi0xNTA2NjQxNWZlMTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=bddc3869c98a003b&srepoch=1686297683&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2.0,Complementari,Case ed appartamenti per vacanze gestiti in forma imprenditoriale,"7,7",cav appartamento 4 di casa ideale,casaidealemilano@gmail.com,,True,5.30973491999999e+17,5.079363644e+17,624756903,,5.079363644e+17,4.0,5.30973491999999e+17,391 recensioni,appartamenti casa ideale lecco,"7,5",LC,"7,7","8,1","7,3","7,4","7,4",Italia,,,valdisotto,via gorizia 54,23900.0,RANCIO
"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Ascensore,Bar,Biciclette per ospiti,Giochi per bambini,Parcheggio non custodito,Parco o giardino,Riscaldamento,Sauna privata,Servizio congressi,Televisione satellitare,Trasporto clienti stazione,WI-FI in aree comuni",Inglese,70.0,https://www.booking.com/hotel/it/residence-adamello-resort-ponte-di-legno.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305774&from=searchresults#hotelTmpl,0.0,Alberghiere,Residenze turistico alberghiere 4 stelle,"8,7",adamello resort,info@adamelloresort.it,364902469,False,6.17318511319e+17,5.12376527644e+17,8299079,,5.12376527644e+17,199.0,6.17318511319e+17,277 recensioni,residence adamello resort,"9,0",BS,"8,8","7,8","8,1","8,2","8,6",Italia,364903151,"7,8",valdisotto,via nazionale 2,25056.0,
,,1.0,https://www.booking.com/hotel/it/doris-home.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9waXNvZ25lSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKDtYukBsACAdICJDQxNjMwZGFiLTMyZTUtNDE0OS05NjA5LTQxMjAxZDdlMzkzOdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=bddc37813cde0420&srepoch=1686297220&from=searchresults#hotelTmpl,2.0,Complementari,Locazione turistica non imprenditoriale,"9,4",doris' home,mauripian23@gmail.com,,True,0.0,0.0,647805016,,0.0,4.0,0.0,4 recensioni,doris' home,"9,4",BS,"8,8","8,8","9,0","8,8","9,4",Italia,,,valdisotto,via antica valeriana 47,25055.0,
,,1.0,https://www.booking.com/hotel/it/botep-ai-tigli.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9zYW4gcGVsbGVncmlubyB0ZXJtZUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC4ayLpAbAAgHSAiQ5NzlkNTE1Ni04MWZlLTQ5OTUtYjNhNS0wZmMzYjU0YmRmYjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=414f357089c80185&srepoch=1686296163&from=searchresults#hotelTmpl,2.0,Complementari,Bed & Breakfast,"9,5",b&b botep ai tigli,info@botepaitigli.it,,False,5.51506928889999e+17,5.07636956173e+17,78426067,,5.07636956173e+17,5.0,5.51506928889999e+17,119 recensioni,botép ai tigli,"9,6",BG,"9,5","9,0","8,9","8,9","9,5",Italia,0345 23397,"9,4",valdisotto,viale della vittoria 33,24016.0,
,,1.0,https://www.booking.com/hotel/it/appartamento-speranza.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9waXNvZ25lSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKDtYukBsACAdICJDQxNjMwZGFiLTMyZTUtNDE0OS05NjA5LTQxMjAxZDdlMzkzOdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=bddc37813cde0420&srepoch=1686297231&from=searchresults#hotelTmpl,2.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"8,3",casa speranza,luci.felappi@gmail.com,,False,0.0,0.0,326311072,,0.0,4.0,0.0,38 recensioni,appartamento speranza,"9,5",BS,"8,2","8,6","8,4","8,5","8,9",Italia,3389821232,,valdisotto,via speranza 9,25055.0,
"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione gruppi,Ascensore,Autorimessa,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Giochi per bambini,Lavaggio e stiratura biancheria,Parcheggio custodito,Parco o giardino,Pulizia calzature,Ristorante,Ristorante vegetariano,Sala lettura separata,Sala televisione separata,Sauna privata,Servizi baby sitting,Tavernetta o tavola calda,Trasporto clienti stazione","Francese,Inglese,Tedesco",50.0,https://www.booking.com/hotel/it/derby-aprica.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hcHJpY2FIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AqSwi6QGwAIB0gIkODYyNDI3NTQtZDJlNi00NDIzLTk2MWYtODUxZGU2MTg4Zjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8a7b3652953c0319&srepoch=1686296613&from=searchresults#hotelTmpl,50.0,Alberghiere,Alberghi 3 stelle,"8,4",derby,info@albergoderby.it,0342 747760,False,5.89241793617999e+17,5.11160545516e+17,9739902,,5.11160545516e+17,100.0,5.89241793617999e+17,260 recensioni,hotel derby,"9,2",SO,"8,5","7,9","8,0","7,9","8,6",Italia,0342 746067,"8,8",valdisotto,via adamello 16,23031.0,
,,25.0,https://www.booking.com/hotel/it/campodolcino-camping.it.html?aid=304142&label=gen173nr-1FCAQoggJCE3NlYXJjaF9jYW1wb2RvbGNpbm9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtG_i6QGwAIB0gIkMDA5NmM1YzktOWZiMy00MmY2LTljMjMtYTljZjYxZDEzNjVl2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=44673a28ca3b0198&srepoch=1686298578&from=searchresults#hotelTmpl,0.0,Complementari,Campeggi e aree attrezzate per camper e roulotte 3 stelle,"8,4",campeggio campodolcino,campingcampodolcino@tiscali.it,0343 50097,False,5.25450588018e+17,5.14025913277e+17,9744689,,5.14025913277e+17,516.0,5.25450588018e+17,105 recensioni,campodolcino camping,"8,8",SO,"8,8","8,6","8,1","8,4","9,2",Italia,0343 50097,"6,3",valdisotto,via per starleggia 2,23021.0,
,,1.0,https://www.booking.com/hotel/it/trilocale-nel-verde.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9zYW4gcGVsbGVncmlubyB0ZXJtZUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC4ayLpAbAAgHSAiQ5NzlkNTE1Ni04MWZlLTQ5OTUtYjNhNS0wZmMzYjU0YmRmYjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=414f357089c80185&srepoch=1686296163&from=searchresults#hotelTmpl,0.0,Complementari,Locazione turistica non imprenditoriale,"9,3",manzoni teresa,carole.marchesi@hotmail.it,,True,5.51186035999999e+17,5.075784156e+17,631221457,,5.075784156e+17,4.0,5.51186035999999e+17,21 recensioni,manzoni aparts - suite apartments - 1 o 2 camere da letto,"8,9",BG,"8,9","9,0","8,5","9,0","8,6",Italia,3899815354 034521868,,valdisotto,via ripa 14,24016.0,
