titles,rating,price,comments,locations,CAP,city,lng,lat,reference,data_source,url,contact,type
A Tavola da Patrizia,4.0/5,Prezzo medio 35€,400 recensioni,Via Giacomo Radini Tedeschi  28,24124.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Villa Elena - Ristorante Enrico Bartolini,4.7/5,Prezzo medio 120€,240 recensioni,Via Monte Bastia  6,24129.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
La Cucina Relais San Vigilio,4.6/5,Prezzo medio 60€,995 recensioni,Via al Castello  7,24129.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Lostricheria,4.4/5,Prezzo medio 80€,22 recensioni,Via Sant'Alessandro  58,24122.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Laboratorio l'Emporio,4.3/5,Prezzo medio 30€,146 recensioni,Via Dante  9/b,25047.0,Sale Marasino,10.11288737,45.71409232,pisogne,the_fork,,,
Arte&Gusto,4.5/5,Prezzo medio 30€,576 recensioni,Via della Resistenza  34,24069.0,Trescore Balneario,9.84277423,45.69508834,selvino,the_fork,,,
Tenuta Ambrosini Agriturismo cantina in franciacorta,3.9/5,Prezzo medio 60€,68 recensioni,Via della Pace  60,25046.0,Cazzago San Martino,10.02501501,45.58101331,pisogne,the_fork,,,
Trattoria Aurora,4.3/5,Prezzo medio 18€,699 recensioni,Via Papa Giovanni XXIII  40,24065.0,Lovere,10.07160122,45.81288555,pisogne,the_fork,,,
Mota Restaurant&Wine,4.7/5,Prezzo medio 40€,152 recensioni,Via Ostaria  11,23030.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
Posta Restaurant,4.6/5,Prezzo medio 35€,118 recensioni,Via Plaza dal Comun  67,23030.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
Cristallo,4.6/5,Prezzo medio 30€,853 recensioni,Via Rin  232,23030.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
San Giovanni,4.6/5,Prezzo medio 20€,241 recensioni,Via Florin  46,23030.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
Al Persef,4.6/5,Prezzo medio 90€,2.209 recensioni,Via Saroch  1272,23041.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
Valtellina,4.7/5,Prezzo medio 30€,50 recensioni,Via Saroch  350,23030.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
La Grolla Livigno,4.3/5,Prezzo medio 18€,699 recensioni,Via Plan  307,23030.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
Il Cenacolo,4.8/5,Prezzo medio 25€,795 recensioni,Via Pedrana  416,23041.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
Amerikan Livigno,4.5/5,Prezzo medio 30€,20 recensioni,Via Florin  77,23030.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
La Pòsa,4.8/5,Prezzo medio 30€,484 recensioni,Via Taglieda  58,23030.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
Ristorante Pizzeria Angelica,4.8/5,Prezzo medio 38€,400 recensioni,Via Crosal  62,23041.0,Livigno,10.13481042,46.53867334,livigno,the_fork,,,
Ristorante Jim Hotel Sassella,4.4/5,Prezzo medio 30€,122 recensioni,Via Roma  2,23033.0,Grosio,10.27571813,46.29730226,corteno golgi,the_fork,,,
Birreria Stal,4.7/5,Prezzo medio 25€,81 recensioni,Località Stal  1,38020.0,Pellizzano,10.7605651,46.30938639,ponte di legno,the_fork,,,
Malga Bassa,4.6/5,Prezzo medio 20€,79 recensioni,Località Fazzon  38,38020.0,Pellizzano,10.7605651,46.30938639,ponte di legno,the_fork,,,
Posteria del Rosso,4.5/5,Prezzo medio 20€,68 recensioni,Piazza delle Stazioni  snc,23037.0,Tirano,10.175315,46.21687062,aprica,the_fork,,,
La Reale Pizzeria,4.3/5,Prezzo medio 15€,31 recensioni,Piazza Della Basilica  48,23037.0,Tirano,10.175315,46.21687062,aprica,the_fork,,,
Leti,4.3/5,Prezzo medio 21€,59 recensioni,Piazza delle Stazioni  24a,23037.0,Tirano,10.175315,46.21687062,aprica,the_fork,,,
Parravicini Restaurant & Wine Bar,4.8/5,Prezzo medio 40€,176 recensioni,Piazza Parravicini  1,23037.0,Tirano,10.175315,46.21687062,aprica,the_fork,,,
Vineria Tirano,4.8/5,Prezzo medio 30€,137 recensioni,Via XX Settembre  25,23037.0,Tirano,10.175315,46.21687062,aprica,the_fork,,,
Hotel Franca & Trattoria San Sebastiano,3.4/5,Prezzo medio 25€,8 recensioni,Via Roma  11,23030.0,Tovo di Sant'Agata,10.24667088,46.24504363,corteno golgi,the_fork,,,
Locanda San Martino,4.4/5,Prezzo medio 30€,224 recensioni,Frazione Cavizzana  27,38022.0,Cavizzana,10.95837224,46.36818861,ponte di legno,the_fork,,,
Da Cesare,4.4/5,Prezzo medio 20€,264 recensioni,Via della Monega  6,25048.0,Sonico,10.35211195,46.16331325,corteno golgi,the_fork,,,
Bistrot Umami Pizzeria,4.7/5,Prezzo medio 45€,184 recensioni,Via Stelvio  23,23032.0,Bormio,10.37559509,46.47015993,bormio,the_fork,,,
Baita dei Pini,4.6/5,Prezzo medio 35€,995 recensioni,Via Don Evaristo Peccedi  15,23032.0,Bormio,10.37559509,46.47015993,bormio,the_fork,,,
Park Hotel Miramonti,4.6/5,Prezzo medio 34€,1.064 recensioni,Via Milano  50,23032.0,Bormio,10.37559509,46.47015993,bormio,the_fork,,,
Ristorante La Torre,4.6/5,Prezzo medio 25€,637 recensioni,Via Guicciardi  6,23020.0,Piateda,9.93888683,46.15975234,teglio,the_fork,,,
I Vignali,4.6/5,Prezzo medio 25€,84 recensioni,Piazza dei vignali  2,24040.0,Madone,9.54994881,45.65199573,selvino,the_fork,,,
Sushi Bistrò,4.6/5,Prezzo medio 15€,388 recensioni,Via Giuseppe Mazzini  116,24022.0,Alzano Lombardo,9.72580631,45.72747077,selvino,the_fork,,,
Kraken Factory,4.6/5,Prezzo medio 26€,41 recensioni,Viale Piave  58,24022.0,Alzano Lombardo,9.72580631,45.72747077,selvino,the_fork,,,
Agriturismo Ca' Fenile,4.4/5,Prezzo medio 23€,130 recensioni,Via Belvedere,24022.0,Alzano Lombardo,9.72580631,45.72747077,selvino,the_fork,,,
Agriturismo Grabbia,4.4/5,Prezzo medio 30€,4.675 recensioni,Via Grabbia,24015.0,San Giovanni Bianco,9.65182322,45.87456477,san pellegrino terme,the_fork,,,
Stella PUB,4.8/5,Prezzo medio 18€,53 recensioni,Via S. Quirico  4,23867.0,Suello,9.30815929,45.81854832,lecco,the_fork,,,
Smile Lounge,4.6/5,Prezzo medio 27€,549 recensioni,Via dei Pescatori  39,23900.0,Lecco,9.39339225,45.8557578,lecco,the_fork,,,
Fiore Cucina in Libertà,5.0/5,Prezzo medio 25€,3 recensioni,Via Belfiore  1,23900.0,Lecco,9.39339225,45.8557578,lecco,the_fork,,,
J Cafè,4.4/5,Prezzo medio 20€,54 recensioni,Via Carlo Cattaneo  33,23900.0,Lecco,9.39339225,45.8557578,lecco,the_fork,,,
Paninoteca Ermete,4.8/5,Prezzo medio 20€,252 recensioni,Corso Martiri della Liberazione  62,23900.0,Lecco,9.39339225,45.8557578,lecco,the_fork,,,
Tabula Rosa Restaurant & Pizza,4.8/5,Prezzo medio 25€,252 recensioni,Lungolario Luigi Cadorna  20,23900.0,Lecco,9.39339225,45.8557578,lecco,the_fork,,,
Orsa Maggiore,4.4/5,Prezzo medio 35€,122 recensioni,Via Lungolario Piave  5,23900.0,Lecco,9.39339225,45.8557578,lecco,the_fork,,,
Bar Castell,4.0/5,Prezzo medio 20€,284 recensioni,Piazza Antonio dell'Oro  5,23900.0,Lecco,9.39339225,45.8557578,lecco,the_fork,,,
Braceria La Spessa,4.2/5,Prezzo medio 25€,294 recensioni,Via S. Lucio  70,24023.0,Clusone,9.94697311,45.89156953,songavazzo,the_fork,,,
Alby & Paul Salsamentario Pescheria con Cucina,4.2/5,Prezzo medio 30€,605 recensioni,Via S. Carlo  25,24016.0,San Pellegrino Terme,9.66330535,45.83833313,san pellegrino terme,the_fork,,,
CLU,4.3/5,Prezzo medio 36€,72 recensioni,Piazza Castello  4,24010.0,Ubiale Clanezzo,9.61669209,45.78339354,san pellegrino terme,the_fork,,,
AROMA Piajo,4.4/5,Prezzo medio 39€,91 recensioni,Via Piajo  1,24027.0,Nembro,9.75892641,45.74353321,selvino,the_fork,,,
Trattoria alle Piante,4.4/5,Prezzo medio 30€,99 recensioni,Via Guglielmo Marconi  1,24027.0,Nembro,9.75892641,45.74353321,selvino,the_fork,,,
Anema e Core2.0,3.4/5,Prezzo medio 30€,15 recensioni,Via Campana  44,24018.0,Campana,16.82601626,39.40982925,santa margherita di staffora,the_fork,,,
TRATTORIA DEI CACCIATORI DI MORTERONE,4.9/5,Prezzo medio 25€,90 recensioni,23811,23811.0,Morterone,9.4827586,45.87625364,moggio,the_fork,,,
Be Up,4.8/5,Prezzo medio 18€,430 recensioni,Via Cave  5,24021.0,Albino,9.7969345,45.76059116,selvino,the_fork,,,
Ristorante Pizzeria Vecchio Pozzo Albino,4.8/5,Prezzo medio 15€,152 recensioni,Via Carlo Marini  27,24021.0,Albino,9.7969345,45.76059116,selvino,the_fork,,,
Osteria della Locanda Dell'Annunciata,4.3/5,Prezzo medio 50€,50 recensioni,Via Annunciata  20,24030.0,Palazzago,9.53730572,45.75122637,san pellegrino terme,the_fork,,,
Ostello Brembo,4.8/5,Prezzo medio 35€,28 recensioni,Via Orbrembo  20,24010.0,Camerata Cornello,9.65566453,45.89956035,san pellegrino terme,the_fork,,,
Agriturismo Al Sass,4.8/5,Prezzo medio 25€,132 recensioni,Via Provinciale 20/a,24010.0,Dossena,9.69696495,45.87917249,san pellegrino terme,the_fork,,,
Griso Panorama Restaurant,4.6/5,Prezzo medio 40€,496 recensioni,Via Provinciale  51,23864.0,Malgrate,9.3734067,45.85188226,lecco,the_fork,,,
Ristorante Da Giovannino - Cucina Creativa & Pizza Gourmet,4.8/5,Prezzo medio 38€,53 recensioni,Viale Italia  4  Malgrate  Province of Lecco  Italy,23864.0,Malgrate,9.3734067,45.85188226,lecco,the_fork,,,
Lisander,4.8/5,Prezzo medio 55€,137 recensioni,Viale Italia  4,23864.0,Malgrate,9.3734067,45.85188226,lecco,the_fork,,,
Osteria del Benedet,4.0/5,Prezzo medio 45€,873 recensioni,Via Roma  2,23014.0,Delebio,9.45925496,46.1371564,gerola alta,the_fork,,,
Il Ceppo,3.6/5,Prezzo medio 35€,69 recensioni,Via Milano  30,22039.0,Valbrona,9.29677259,45.87778782,lecco,the_fork,,,
Tra Terra e Mare da Lisa,4.3/5,Prezzo medio 25€,498 recensioni,Via Roma  1,23837.0,Taceno,9.36514327,46.02094716,margno,the_fork,,,
Rocopom,4.2/5,Prezzo medio 45€,153 recensioni,Frazione Parè  45,23868.0,Valmadrera,9.36027083,45.8469754,lecco,the_fork,,,
Bistronomia,4.8/5,Prezzo medio 20€,795 recensioni,Via dei Sedini  49,23017.0,Morbegno,9.56978082,46.13045582,gerola alta,the_fork,,,
Osteria Pian delle Viti,4.8/5,Prezzo medio 40€,484 recensioni,Via Piano delle Viti  2,25050.0,Provaglio d'Iseo,10.04214968,45.63777633,pisogne,the_fork,,,
Agriturismo Cà Di Racc,4.7/5,Prezzo medio 25€,184 recensioni,Loc. Selvadagnone snc,24020.0,Valgoglio,9.91394219,45.97559532,gromo,the_fork,,,
Soltojo,4.8/5,Prezzo medio 30€,85 recensioni,Via Caiolo Alto  45,23010.0,Caiolo,9.81705673,46.15231836,chiesa in valmalenco,the_fork,,,
"Ristorante dell’Agriturismo ""da YSY""",4.6/5,Prezzo medio 28€,927 recensioni,Frazione Serone  4,23010.0,Civo,9.58121409,46.15634566,gerola alta,the_fork,,,
Ristorante Cantarana,4.6/5,Prezzo medio 35€,118 recensioni,Via Ghibellini  10,23030.0,Chiuro,9.98921231,46.16955671,teglio,the_fork,,,
1862 Ristorante della Posta,4.4/5,Prezzo medio 60€,415 recensioni,Piazza Garibaldi Giuseppe  19,23100.0,Sondrio,9.87147489,46.1709926,caspoggio,the_fork,,,
Trattoria Olmo,4.9/5,Prezzo medio 30€,91 recensioni,Piazza Cavour  13,23100.0,Sondrio,9.87147489,46.1709926,caspoggio,the_fork,,,
Ristorante Miravalle,4.6/5,Prezzo medio 28€,114 recensioni,Via Roma  70,23036.0,Teglio,10.06328021,46.17226169,teglio,the_fork,,,
Villa Giade,4.4/5,Prezzo medio 50€,15 recensioni,Via G. B. Picchi  1,23022.0,Chiavenna,9.40548756,46.32102771,piuro,the_fork,,,
Piper,4.4/5,Prezzo medio 15€,113 recensioni,Via A. Volta  64,23022.0,Chiavenna,9.40548756,46.32102771,piuro,the_fork,,,
Agriturismo Dai Camuscin,4.7/5,Prezzo medio 30€,184 recensioni,Valle del Drogo snc,23020.0,San Giacomo Filippo,9.37042769,46.33714147,piuro,the_fork,,,
Da Marco Ristorante Pizzeria,4.1/5,Prezzo medio 20€,145 recensioni,Via Luigi Sacco  7,23823.0,Colico,9.37501095,46.13383442,margno,the_fork,,,
La Cucina della Marianna,4.8/5,Prezzo medio 34€,52 recensioni,Via Regina  57,22011.0,Griante,9.23500949,45.99694371,margno,the_fork,,,
Al Chiaro di Luna,4.8/5,Prezzo medio 50€,176 recensioni,Via Regina  1,22011.0,Griante,9.23500949,45.99694371,margno,the_fork,,,
Bar&Bistrot Vittoria,4.7/5,Prezzo medio 30€,81 recensioni,Via Regina  11,22011.0,Griante,9.23500949,45.99694371,margno,the_fork,,,
Cinyo,4.8/5,Prezzo medio 30€,49 recensioni,Via Regina  63,22013.0,Domaso,9.32846683,46.15194609,margno,the_fork,,,
Il Bar Pin Pizzeria Burgheria,4.4/5,Prezzo medio 20€,24 recensioni,Via Giacomo Matteotti  56,23824.0,Dervio,9.30672896,46.07707832,margno,the_fork,,,
Quattro Stagioni by La Fiorida,4.6/5,Prezzo medio 45€,995 recensioni,Via Lungo Adda  12,23016.0,Mantello,9.48804765,46.15290306,gerola alta,the_fork,,,
Ristorante Lago,4.9/5,Prezzo medio 80€,91 recensioni,Viale Benedetto Castelli  9,22017.0,Menaggio,9.23891075,46.02110324,margno,the_fork,,,
Ni Sushi,4.7/5,Prezzo medio 25€,184 recensioni,Via Annetta e Celestino Lusardi  76,22017.0,Menaggio,9.23891075,46.02110324,margno,the_fork,,,
Erre Restaurant,4.4/5,Prezzo medio 30€,22 recensioni,Via A. Wyatt  54,22017.0,Menaggio,9.23891075,46.02110324,margno,the_fork,,,
La Trela,4.6/5,Prezzo medio 28€,336 recensioni,Via Mario Copes  29,23020.0,Verceia,9.45276066,46.19663273,piuro,the_fork,,,
Rodi Grill House,4.8/5,Prezzo medio 20€,137 recensioni,Via Delle Noci  2,22018.0,Porlezza,9.11981421,46.03641282,margno,the_fork,,,
Black Moon,4.4/5,Prezzo medio 25€,397 recensioni,Via Medici  41,20836.0,Briosco,9.23719684,45.70929261,lecco,the_fork,,,
Soho Cucina Oltre Confini,4.8/5,Prezzo medio 45€,120 recensioni,Piazzolo Giuseppe Terragni  7,22100.0,Como,9.08515955,45.8099912,lecco,the_fork,,,
Ristorante Il Cenacolo,4.6/5,Prezzo medio 40€,28 recensioni,Via Leonardo Da Vinci  6,22030.0,Erba,9.22318311,45.81193507,lecco,the_fork,,,
Graphi,4.8/5,Prezzo medio 24€,48 recensioni,Piazzale Trieste  21,27049.0,Stradella,9.2951673,45.07530591,santa margherita di staffora,the_fork,,,
Jimmy'z Bar & Food,4.6/5,Prezzo medio 25€,110 recensioni,Via del Mercato  10,27057.0,Varzi,9.1962725,44.82199953,santa margherita di staffora,the_fork,,,
La Locanda Dei Narcisi,4.5/5,Prezzo medio 45€,457 recensioni,Via Bettole  35,15068.0,Pozzolo Formigaro,8.78154639,44.79386971,santa margherita di staffora,the_fork,,,
AGRITURISMO TORRAZZETTA - WINERY,4.0/5,Prezzo medio 30€,63 recensioni,Loc. Torrazzetta  1,27040.0,Borgo Priolo,9.14841048,44.96650803,santa margherita di staffora,the_fork,,,
La Pineta,4.2/5,Prezzo medio 35€,90 recensioni,Via Roma  2,27040.0,Fortunago,9.18468553,44.92159589,santa margherita di staffora,the_fork,,,
Il Leccio,4.7/5,Prezzo medio 70€,525 recensioni,Via Privata dei Giuntini 14T2,16038.0,Santa Margherita Ligure,9.20992464,44.33486974,santa margherita di staffora,the_fork,,,
Ristorante Trattoria Gianna,4.6/5,Prezzo medio 30€,374 recensioni,Vico delle Camelie  26 R,16128.0,Genova,8.9326992,44.41149314,santa margherita di staffora,the_fork,,,
Rossocarne Albaro,4.8/5,Prezzo medio 40€,176 recensioni,Piazza Henry Dunant  4,16146.0,Genova,8.9326992,44.41149314,santa margherita di staffora,the_fork,,,
Re Chianina,4.9/5,Prezzo medio 20€,91 recensioni,Piazza Alfredo Oriani  8,16154.0,Genova,8.9326992,44.41149314,santa margherita di staffora,the_fork,,,
La Bottega del Re,4.8/5,Prezzo medio 39€,137 recensioni,Via Francesco Domenico Guerrazzi  66,16146.0,Genova,8.9326992,44.41149314,santa margherita di staffora,the_fork,,,
Bonfim Club,4.4/5,Prezzo medio 30€,15 recensioni,Passeggiata Anita Garibaldi  27r,16167.0,Genova,8.9326992,44.41149314,santa margherita di staffora,the_fork,,,
Ristorante Pizzeria La Pieve,4.8/5,Prezzo medio 20€,207 recensioni,Via Roma  39,15054.0,Fabbrica Curone,9.15418217,44.75482545,santa margherita di staffora,the_fork,,,
Agriturismo Boccapane,4.5/5,Prezzo medio 32€,135 recensioni,Località Boccapane  1,27040.0,Ruino,9.2734518,44.92787354,santa margherita di staffora,the_fork,,,
Risosteria dal Voi,4.4/5,Prezzo medio 25€,79 recensioni,Via XXI Aprile  18,29121.0,Piacenza,9.6926326,45.05193461,santa margherita di staffora,the_fork,,,
Enoteca del corso Bistrot,4.8/5,Prezzo medio 28€,75 recensioni,Corso Vittorio Emanuele II  232,29121.0,Piacenza,9.6926326,45.05193461,santa margherita di staffora,the_fork,,,
Belrespiro,4.8/5,Prezzo medio 50€,98 recensioni,Via Pablo Neruda  18,29010.0,Agazzano,9.52061417,44.94680696,santa margherita di staffora,the_fork,,,
"Bosco Gerolo, Val Trebbia",4.7/5,Prezzo medio 25€,11 recensioni,Localita' gerolo  snc,29029.0,Rivergaro,9.597564,44.91070815,santa margherita di staffora,the_fork,,,
Pizzeria Santa Lucia,5.0/5,Prezzo medio 10€,8 recensioni,Via del Canale  18,27050.0,Bastida Pancarana,9.0915536,45.08630345,santa margherita di staffora,the_fork,,,
Agriturismo Uva Matta,4.6/5,Prezzo medio 25€,336 recensioni,Via Domenico Lusardi 54,29020.0,Carmiano,18.04546614,40.34555275,bagolino,the_fork,,,
Osteria Fra' Pellizza,4.6/5,Prezzo medio 34€,114 recensioni,Via Torino  80,27045.0,Casteggio,9.12494869,45.01239955,santa margherita di staffora,the_fork,,,
Anna Ghisolfi,4.4/5,Prezzo medio 60€,6 recensioni,Via Giulia  16,15057.0,Tortona,8.86015893,44.89474291,santa margherita di staffora,the_fork,,,
Haki Asian Restaurant,3.8/5,Prezzo medio 20€,42 recensioni,Via Angelo Calvi  35,29015.0,Castel San Giovanni,9.43404574,45.058522,santa margherita di staffora,the_fork,,,
Bar Roma,4.4/5,Prezzo medio 28€,24 recensioni,Piazzale Guglielmo Marconi  21,27058.0,Voghera,9.00852362,44.99312509,santa margherita di staffora,the_fork,,,
Crotto Camelie,4.7/5,Prezzo medio 25€,95 recensioni,Via Vanzonico SNC,22010.0,Stazzona,9.27725961,46.13898602,margno,the_fork,,,
Victoria Grill,4.5/5,Prezzo medio 35€,81 recensioni,Piazza S. Giorgio  1,23829.0,Varenna,9.28358759,46.010613,margno,the_fork,,,
Ristoro Genio,4.8/5,Prezzo medio 20€,53 recensioni,Località Alpe Giumello  7,23831.0,Casargo,9.38827009,46.03836074,margno,the_fork,,,
Crotto di Biosio,4.6/5,Prezzo medio 30€,532 recensioni,Via per Biosio  1,23822.0,Bellano,9.30276896,46.04329184,margno,the_fork,,,
La Goletta,4.7/5,Prezzo medio 40€,152 recensioni,Via Teresio Olivelli  1,22021.0,Bellagio,9.2459,45.9627,margno,the_fork,,,
La Cucina del Pontile,4.4/5,Prezzo medio 30€,116 recensioni,Frazione Musso Centro 2,22010.0,Musso,9.27367815,46.11081893,margno,the_fork,,,
La Baita,4.1/5,Prezzo medio 30€,9 recensioni,Località Pissisidolo,25072.0,Bagolino,10.46893818,45.82122915,bagolino,the_fork,,,
La Pergola,4.8/5,Prezzo medio 20€,53 recensioni,Via S. Rocco  7,25050.0,Ossimo,10.22847608,45.94575301,borno,the_fork,,,
Ristorante Pizzeria Antica Valeriana,4.5/5,Prezzo medio 35€,81 recensioni,Via Valurbes  31,25050.0,Zone,10.11661357,45.76219872,pisogne,the_fork,,,
Al Filatoio,4.4/5,Prezzo medio 35€,92 recensioni,Via Cavour  4,24060.0,Sovere,10.02552685,45.82415622,pisogne,the_fork,,,
Osteria - Antica Locanda la Tinara del Belvedere,4.8/5,Prezzo medio 35€,132 recensioni,Via Madonnina  8,23851.0,Galbiate,9.37443985,45.81434886,lecco,the_fork,,,
Ponti Bistrot,4.4/5,Prezzo medio 16€,130 recensioni,Piazza G. Garibaldi  3,22035.0,Canzo,9.27350212,45.85003757,lecco,the_fork,,,
Sargas,4.4/5,Prezzo medio 25€,22 recensioni,Via Cinquantaquattresima Brigata Garibaldi  4,25040.0,Cevo,10.37037619,46.08019094,corteno golgi,the_fork,,,
Ristorante Il Poggio,4.6/5,Prezzo medio 35€,8 recensioni,Via Panoramica  4,23020.0,Poggiridenti,9.92865687,46.17586738,teglio,the_fork,,,
Les Arcs,4.5/5,Prezzo medio 30€,155 recensioni,Piazza San Vigilio  59,38088.0,Spiazzo,10.73679917,46.10284998,ponte di legno,the_fork,,,
Agriturismo Cazzuffi,4.3/5,Prezzo medio 22€,699 recensioni,Loc.Pont 2,38024.0,Peio,10.68907789,46.35528769,ponte di legno,the_fork,,,
La Pelosetta,4.7/5,Prezzo medio 35€,184 recensioni,Via Guido Frizzoni  6,24066.0,Pedrengo,9.7341355,45.69842976,selvino,the_fork,,,
Il Forno dell'Oste,4.6/5,Prezzo medio 19€,189 recensioni,Piazzale Caduti per la Libertà  12,24068.0,Seriate,9.71764216,45.68353578,selvino,the_fork,,,
Garlini al Baio,4.6/5,Prezzo medio 35€,258 recensioni,Viale G. Zavaritt  224,24020.0,Gorle,9.71877961,45.70242869,selvino,the_fork,,,
