nome,booking_link,indirizzo,rating,n_reviews,staff,servizi,pulizia,comfort,rapporto qualità prezzo,posizione,wifi gratuito,comune,stato,CAP,first_word_number,info_indirizzo,località
Contessa Pace - Luxury flat,https://www.booking.com/hotel/it/contessa-pace-luxury-flat.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zZWx2aW5vSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKZx4ukBsACAdICJDQwOTk5MmI0LWJkMjgtNDA1Ny1hMDc0LWVkN2U4OTMyM2QzMNgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9e4a3c0cc2e00548&srepoch=1686299546&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Via Generale Osio 19,"9,4",91 recensioni,"9,5","9,6","9,8","9,7","9,2","9,2",,Selvino,Italia,24020.0,True,,
Tra le Vette,https://www.booking.com/hotel/it/tra-le-vette.it.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jYXNwb2dnaW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArfEi6QGwAIB0gIkM2YwMmNkNjctYmZiYi00YzIzLTljMGYtOWYyNDk5NWMyMjA52AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c3703b5b6e80004b&srepoch=1686299192&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via don gatti 92,"9,6",24 recensioni,"9,9","9,7","9,9","9,7","9,7","9,8",,Caspoggio,Italia,23020.0,False,,
Boscone Suite Hotel,https://www.booking.com/hotel/it/residence-park-boscone.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9tYWRlc2ltb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC67KLpAbAAgHSAiQ0ODlmNjVkMy0wYmNkLTRiODMtYjk1OS1jNzVkODUzOTdjOTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3f0236f502a2011f&srepoch=1686296941&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via per motta 14,"7,6",93 recensioni,"8,9","7,4","7,9","8,1","6,9","8,2",,Madesimo,Italia,23024.0,False,,
Appartamento Bellevue,https://www.booking.com/hotel/it/appartamento-bellevue-provincia-di-sondrio.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9saXZpZ25vSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKk0oukBsACAdICJGQ5OWQ0Yjk5LWI4ZDItNGIxZS1iMGRlLTIxMTU0M2U5NTA0NdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=92013ed296980064&srepoch=1686300966&from=searchresults#hotelTmpl,ss301 ,,,,,,,,,,Livigno,Italia,23041.0,False,,
Hotel Villa Carona,https://www.booking.com/hotel/it/villa-carona.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXJvbmFIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Asv-i6QGwAIB0gIkODU2YThmNTAtNDNhMS00YjJjLThjNjMtYjAwZjExY2YyYzg52AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5a1c49e555e9014a&srepoch=1686306637&from=searchresults#hotelTmpl,via porta 50,10,1 recensione,10,10,10,10,"5,0","5,0",,Carona,Italia,24010.0,False,,
Albergo Cioccarelli,https://www.booking.com/hotel/it/albergo-cioccarelli.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hcHJpY2FIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AqSwi6QGwAIB0gIkODYyNDI3NTQtZDJlNi00NDIzLTk2MWYtODUxZGU2MTg4Zjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8a7b3652953c0319&srepoch=1686296613&from=searchresults#hotelTmpl,via adamello 10,"7,3",251 recensioni,"8,5","7,2","7,8","7,6","7,6","9,6","7,5",Aprica,Italia,23031.0,False,,
Condominio Baradello,https://www.booking.com/hotel/it/condominio-baradello.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hcHJpY2FIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AqSwi6QGwAIB0gIkODYyNDI3NTQtZDJlNi00NDIzLTk2MWYtODUxZGU2MTg4Zjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=8a7b3652953c0319&srepoch=1686296613&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via nazionale 554,"9,3",38 recensioni,"9,4","9,7","9,7","9,6","9,3","8,9",,Aprica,Italia,25040.0,False,,
Affittacamere Polvara Trentuno,https://www.booking.com/hotel/it/b-amp-b-polvara-31.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9sZWNjb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0riLpAbAAgHSAiRjMDg1YWFjNC02YzVmLTQzNjItYTE5Yi0xNTA2NjQxNWZlMTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=127&sr_order=popularity&srpvid=bddc3869c98a003b&srepoch=1686297718&from=searchresults#hotelTmpl,Via Monsignor Giuseppe Polvara 31,"9,1",213 recensioni,"9,7","9,4","9,7","9,4","9,0","7,9","8,0",Lecco,Italia,23900.0,True,,
Casa Rododendro,https://www.booking.com/hotel/it/casa-rododendro-barzio.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXJ6aW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4As-3i6QGwAIB0gIkYTI5Mjk2YjYtNTc1NS00Y2E3LWE0N2ItMWI3OGI3ZDllYzI42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=45543827ebf5027c&srepoch=1686297553&from=searchresults#hotelTmpl,via al piso snc,"7,7",8 recensioni,"8,4","6,3","7,2","8,8","6,9","8,8",,Barzio,Italia,23816.0,False,,
Gorgeous Mansion in Pisogne with Private Swimming Pool,https://www.booking.com/hotel/it/villa-meraviglia-artogne.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9hcnRvZ25lSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALurYukBsACAdICJDA3YjZkZmI5LWEyZWQtNGRkZi1hOGE2LTY4NTI0NDZjOGJiMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4c4135b7fbe80092&srepoch=1686296304&from=searchresults#hotelTmpl,,10,1 recensione,10,10,"7,5","7,5","7,5","7,5",,Artogne,Italia,25040.0,False,,
Camere vecchio borgo,https://www.booking.com/hotel/it/camere-vecchio-borgo.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9ib3JtaW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsHHi6QGwAIB0gIkMDQ3ZGQ3NTktMjk4Yy00ODRiLWIwNjctMGQ4NzI5YWYxZDUw2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=c2c53c20d2460146&srepoch=1686299587&from=searchresults#hotelTmpl,via monte braulio 1/3,"8,2",1.532 recensioni,"8,8","8,1","8,5","8,2","8,4","9,4","7,5",Bormio,Italia,23032.0,False,,
Hotel Baita Montana,https://www.booking.com/hotel/it/baita-montana.it.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9saXZpZ25vSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKk0oukBsACAdICJGQ5OWQ0Yjk5LWI4ZDItNGIxZS1iMGRlLTIxMTU0M2U5NTA0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=797&sr_order=popularity&srpvid=68053ef4348a039b&srepoch=1686301159&from=searchresults#hotelTmpl,via mont dala nef 87,"9,2",174 recensioni,"9,5","9,3","9,5","9,5","8,8","9,0","6,3",Livigno,Italia,23041.0,False,,
Hotel La Lanterna,https://www.booking.com/hotel/it/la-lanterna-chiesa-in-valmalenco.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9jaGllc2EgaW4gdmFsbWFsZW5jb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCrvyLpAbAAgHSAiRkM2U1ZGZhMC0wNThjLTQ2MzQtOWM5ZC0yMmY3NmRmNTk0MjnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=bb1b49576ad4010f&srepoch=1686306352&from=searchresults#hotelTmpl,via bernina 88,"8,1",131 recensioni,"8,7","8,2","8,8","8,3","8,5","8,6","9,0",Chiesa in Valmalenco,Italia,23023.0,False,,
Appartamenti Sky Express,https://www.booking.com/hotel/it/appartamenti-sky-express.it.html?aid=304142&label=gen173nr-1FCAQoggJCE3NlYXJjaF9jYW1wb2RvbGNpbm9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtG_i6QGwAIB0gIkMDA5NmM1YzktOWZiMy00MmY2LTljMjMtYTljZjYxZDEzNjVl2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=44673a28ca3b0198&srepoch=1686298578&from=searchresults#hotelTmpl,Via Luciano Leonardi 7,"9,3",19 recensioni,"9,9","9,3",10,"9,7","8,8","9,7",,Campodolcino,Italia,23021.0,True,,
Loa 43A,https://www.booking.com/hotel/it/loa.it.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF92YWxkaWRlbnRyb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC9P6LpAbAAgHSAiQ0MjBkOGNlOC00OTJhLTRlZGItYjI3YS1mZmRjYjZjZjc2YTnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=a2bb49faef6901c7&srepoch=1686306678&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via xxv aprile 43/a,"9,6",74 recensioni,"9,9","9,7","9,7","9,9","9,5","9,4","9,6",Valdidentro,Italia,23038.0,False,,
Hotel Moizi,https://www.booking.com/hotel/it/moizi.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9jaGllc2EgaW4gdmFsbWFsZW5jb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCrvyLpAbAAgHSAiRkM2U1ZGZhMC0wNThjLTQ2MzQtOWM5ZC0yMmY3NmRmNTk0MjnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&srpvid=bb1b49576ad4010f&srepoch=1686306364&from=searchresults#hotelTmpl,via moizi 214,"8,1",29 recensioni,"9,1","8,2","8,7","8,6","8,1","8,4","5,0",Chiesa in Valmalenco,Italia,23020.0,False,,
Chalet Pizabela Bait da Pizabela,https://www.booking.com/hotel/it/chalet-pizabela.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9saXZpZ25vSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKk0oukBsACAdICJGQ5OWQ0Yjk5LWI4ZDItNGIxZS1iMGRlLTIxMTU0M2U5NTA0NdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=92013ed296980064&srepoch=1686300966&from=searchresults#hotelTmpl,Via Saroch 181,"9,3",106 recensioni,"9,5","9,1","9,7","9,6","9,2","9,5","9,3",Livigno,Italia,23030.0,True,,
View apartment on the lake,https://www.booking.com/hotel/it/view-apartment-on-the-lake.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9sZWNjb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0riLpAbAAgHSAiRjMDg1YWFjNC02YzVmLTQzNjItYTE5Yi0xNTA2NjQxNWZlMTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=133&sr_order=popularity&srpvid=bddc3869c98a003b&srepoch=1686297718&from=searchresults#hotelTmpl,via carlo cattaneo 1,,,,,,,,,,Lecco,Italia,23865.0,False,,
Chalet Teola,https://www.booking.com/hotel/it/chalet-teola.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9saXZpZ25vSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKk0oukBsACAdICJGQ5OWQ0Yjk5LWI4ZDItNGIxZS1iMGRlLTIxMTU0M2U5NTA0NdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=92013ed296980064&srepoch=1686300966&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via teola 410,"8,9",220 recensioni,"9,5","8,8","9,2","9,1","9,0","8,9","9,4",Livigno,Italia,23041.0,False,,
Hotel Centro's,https://www.booking.com/hotel/it/centro-s.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9saXZpZ25vSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKk0oukBsACAdICJGQ5OWQ0Yjk5LWI4ZDItNGIxZS1iMGRlLTIxMTU0M2U5NTA0NdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=92013ed296980064&srepoch=1686300966&from=searchresults#hotelTmpl,via fontana 26d,"9,1",359 recensioni,"9,4","9,1","9,5","9,5","8,8","9,9","8,8",Livigno,Italia,23041.0,False,,
Hotel Mirella,https://www.booking.com/hotel/it/mirella.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305774&from=searchresults#hotelTmpl,via roma 21,"7,5",309 recensioni,"8,5","7,7","7,9","7,9","7,2","8,5","8,0",Ponte di Legno,Italia,25056.0,False,,
"Sweet Home Casa Vacanze ""Il Panorama""",https://www.booking.com/hotel/it/sweet-home-casa-vacanze-il-panorama.it.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zb25nYXZhenpvSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKd_IukBsACAdICJDY4NGNhYmNjLWYwYzgtNDU3NC1iZDczLTRhZTNiMzQ5MjliMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=341c494ea1590052&srepoch=1686306335&from=searchresults#hotelTmpl,Via Vittorio Veneto 25,,,,,,,,,,Songavazzo,Italia,24020.0,True,,
Mountain lodging with fireplace and mountain view,https://www.booking.com/hotel/it/mountain-lodging-with-fireplace-and-mountain-view.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXJ6aW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4As-3i6QGwAIB0gIkYTI5Mjk2YjYtNTc1NS00Y2E3LWE0N2ItMWI3OGI3ZDllYzI42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=45543827ebf5027c&srepoch=1686297553&from=searchresults#hotelTmpl,Via Coldogna piano terzo 4,10,3 recensioni,10,10,"9,2",10,"9,2",10,,Barzio,Italia,23816.0,True,,
Casa del Cedro - Cedar House,https://www.booking.com/hotel/it/casa-del-cedro-cedar-house.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9sZWNjb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0riLpAbAAgHSAiRjMDg1YWFjNC02YzVmLTQzNjItYTE5Yi0xNTA2NjQxNWZlMTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=138&sr_order=popularity&srpvid=bddc3869c98a003b&srepoch=1686297718&from=searchresults#hotelTmpl,via marsala 20,"8,6",31 recensioni,"9,4","8,7","9,1","9,0","8,6","8,5",10,Lecco,Italia,23900.0,False,,
Trilocale Fumeclo,https://www.booking.com/hotel/it/trilocale-fumeclo.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298800&from=searchresults#hotelTmpl,via guglielmo marconi 51/a,"8,9",21 recensioni,"8,9","8,8","9,2","9,0","8,3","8,5",,Temù,Italia,25050.0,False,,
Casa Paola,https://www.booking.com/hotel/it/casa-paola-valfurva.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF92YWxmdXJ2YUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCjMOLpAbAAgHSAiQzZTVlMGEyNS1iODM3LTQzOTYtYTAwNy02ZTM1MDUxNDRlY2TYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c0883b06c41d000e&srepoch=1686299021&from=searchresults#hotelTmpl,via san nicolò 113,"9,3",203 recensioni,"9,5","9,4","9,5","9,4","9,4","9,1","9,8",Valfurva,Italia,23030.0,False,,
